Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
C06,26LL260323I,,,,SC2,0.075098455,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,1.501969099,,,0.358710676,0.003154045,16750,1,16749,,,,,,,,,4765.88623,,,,70.46277847,,,,,,,,,,,,7930.509277,650.5608899,650.9955137,,,,,0.186928377,0.02035124,,,,,,,,,,,,,No,0,0,0,16750,0,3,0,16747,0,0,0,0
A05,26LL260318I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.23630996,0,15949,0,15949,0,0,,,,,2,,3148.271973,,,,50.94786326,SC2,,,,,,,,,,,,883.6057512,883.6057512,,,,,0.107974567,0,,,,,,,,,,,,,No,0,0,0,15949,0,3,0,15946,0,0,0,0
B05,26LL260318I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.22274746,0,16920,0,16920,0,0,,,,,2,,3148.271973,,,,51.1046906,SC2,,,,,,,,,,,,889.5340223,889.5340223,,,,,0.101777904,0,,,,,,,,,,,,,No,0,0,0,16920,0,7,0,16913,0,0,0,0
C05,26LL260318I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.225560561,0,16709,0,16709,0,0,,,,,2,,3148.271973,,,,52.80908293,SC2,,,,,,,,,,,,895.0029273,895.0029273,,,,,0.103063203,0,,,,,,,,,,,,,No,0,0,0,16709,0,4,0,16705,0,0,0,0
A05,26LL260318I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.23630996,0,15949,0,15949,0,0,,,,,2,,2458.194092,,,,26.32877864,SC2,,,,,,,,,,,,782.9250048,782.9250048,,,,,0.107974567,0,,,,,,,,,,,,,No,0,0,0,15949,0,3,0,15946,0,0,0,0
B05,26LL260318I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.22274746,0,16920,0,16920,0,0,,,,,2,,2458.194092,,,,26.42474461,SC2,,,,,,,,,,,,784.5241704,784.5241704,,,,,0.101777904,0,,,,,,,,,,,,,No,0,0,0,16920,0,7,0,16913,0,0,0,0
C05,26LL260318I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.225560561,0,16709,0,16709,0,0,,,,,2,,2458.194092,,,,26.68417459,SC2,,,,,,,,,,,,790.305786,790.305786,,,,,0.103063203,0,,,,,,,,,,,,,No,0,0,0,16709,0,4,0,16705,0,0,0,0
A05,26LL260318I,,,,RSV,0.236625493,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,4.732509613,,,0.627233803,0.056155086,15949,3,15946,0,0.999906003,,,2.462327764,0,2,,1986.62207,,,5.172603237,23.90341066,SC2,0.499952995,,,1.231163882,0,33.33124414,,,65.83154268,0.830945601,2823.959961,752.2283725,752.6180643,,,,,0.405129969,0.122960813,,,1.725523539,0.274288439,,,0.86276177,0.13714422,,,49.45708924,17.20539904,No,0,0,0,15949,0,3,0,15946,0,0,0,0
B05,26LL260318I,,,,RSV,0.520499587,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,10.40999222,,,1.013834596,0.221111655,16920,7,16913,0,2.800165415,,,6.124745447,0,2,,1986.62207,,,2.797148789,23.65625859,SC2,1.400082666,,,3.062372724,0,58.33476846,,,87.19198289,29.47755402,3335.152832,753.8139727,754.8819025,,,,,0.744529426,0.346703172,,,4.463963835,1.136366829,,,2.231981917,0.568183414,,,72.77646891,43.893068,No,0,0,0,16920,0,7,0,16913,0,0,0,0
C05,26LL260318I,,,,RSV,0.301157981,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,6.023159504,,,0.710170627,0.090866826,16709,4,16705,0,4.000239372,,,11.36086877,0,2,,1986.62207,,,4.335631825,24.35998305,SC2,2.000119748,,,5.680434387,0,66.66799714,,,107.5571177,25.77887658,3178.303223,756.9604528,757.5401028,,,,,0.481058985,0.17293115,,,7.613108477,0.387370513,,,3.806554239,0.193685257,,,86.73788924,46.59810505,No,0,0,0,16709,0,4,0,16705,0,0,0,0
