Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmBBbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Ch3+Ch4+,Ch3+Ch4-,Ch3-Ch4+,Ch3-Ch4-,Ch5+Ch6+,Ch5+Ch6-,Ch5-Ch6+,Ch5-Ch6-
B06,26LL260401I,,,,SC2,0.381112456,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,7.622249126,,,0.828304529,0.133985981,16505,5,16500,,,,,,,,,3169.453613,,,4.408317404,45.59901261,,,,,,,,,,,,6423.748242,598.8066176,600.5712167,,,,,0.580480218,0.233684465,,,,,,,,,,,,,No,0,0,0,16505,0,0,0,16505,0,0,0,0
C06,26LL260401I,,,,SC2,0.68800354,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,ROX,13.7600708,,,1.24663353,0.328054309,16459,9,16450,,,,,,,,,3169.453613,,,2.299993996,44.95626773,,,,,,,,,,,,6582.273438,600.1566168,603.4277178,,,,,0.944648802,0.482709795,,,,,,,,,,,,,No,0,0,0,16459,0,2,0,16457,0,0,0,0
A05,26LL260331I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.233875498,0,16115,0,16115,0,,,,,,,,2645.484863,,,,55.62556954,SC2,,,,,,,,,,,,709.5500899,709.5500899,,,,,0.106862277,0,,,,,,,,,,,,,No,0,0,0,16115,0,1,0,16114,0,0,0,0
B05,26LL260331I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.222392559,0,16947,0,16947,0,,,,,,,,2645.484863,,,,54.12895617,SC2,,,,,,,,,,,,727.3907816,727.3907816,,,,,0.101615749,0,,,,,,,,,,,,,No,0,0,0,16947,0,0,0,16947,0,0,0,0
C05,26LL260331I,,,,FluA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,0,,,0.208558798,0,18071,0,18071,0,0,,,,,2,,2645.484863,,,,55.89016583,SC2,,,,,,,,,,,,732.2605037,732.2605037,,,,,0.095295101,0,,,,,,,,,,,,,No,0,0,0,18071,0,1,0,18070,0,0,0,0
A05,26LL260331I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.233875498,0,16115,0,16115,0,,,,,,,,2387.959961,,,,30.44540173,SC2,,,,,,,,,,,,677.5053678,677.5053678,,,,,0.106862277,0,,,,,,,,,,,,,No,0,0,0,16115,0,1,0,16114,0,0,0,0
B05,26LL260331I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.222392559,0,16947,0,16947,0,,,,,,,,2387.959961,,,,30.5578019,SC2,,,,,,,,,,,,689.5007963,689.5007963,,,,,0.101615749,0,,,,,,,,,,,,,No,0,0,0,16947,0,0,0,16947,0,0,0,0
C05,26LL260331I,,,,FluB,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5.5,0,,,0.208558798,0,18071,0,18071,0,0,,,,,2,,2387.959961,,,,30.22718494,SC2,,,,,,,,,,,,690.4791309,690.4791309,,,,,0.095295101,0,,,,,,,,,,,,,No,0,0,0,18071,0,1,0,18070,0,0,0,0
A05,26LL260331I,,,,RSV,0.078057751,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,1.561155081,,,0.372847527,0.003278328,16115,1,16114,0,,,,,,,,1605.351196,,,,22.44367619,SC2,,,,,,100,,,249.8092726,0,3108.717285,640.1155439,640.2687304,,,,,0.194294721,0.021153171,,,,,,,,,,,168.4507786,31.54922135,No,0,0,0,16115,0,1,0,16114,0,0,0,0
B05,26LL260331I,,,,RSV,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,Cy5,0,,,0.222392559,0,16947,0,16947,0,,,,,,,,1605.351196,,,,22.83305961,SC2,,,,,,,,,,,,650.0111732,650.0111732,,,,,0.101615749,0,,,,,,,,,,,,,No,0,0,0,16947,0,0,0,16947,0,0,0,0
